;Ludwig van Beethoven;Eurovisionshymne;;;;https://www.youtube.com/watch?v=nNAc0yw44WE;0;17
Wann wurde dieses Lied veröffentlicht?;Peter Maffei;Und es war Sommer;1976;Wie alt ist sie?;31;https://www.youtube.com/watch?v=DSyWrudKkfE;35;01:08
Wann kam diese Kultserie in die Kinos?;James Bond;Dr. No;1962;Welchen Titel hat der erste Film?;Dr. No;https://www.youtube.com/watch?v=b15-P12gIf0;01:25;01:50
Wann wurde dieses Lied veröffentlicht?;Scott Mc Kenzie;San Francisco;1967;;;https://www.youtube.com/watch?v=j-447NaiBJs;59;01:37
Wann wurde der EURO als Bargeld eingeführt?;EURO;Euro;2002;Welches Land führt 2026 EURO ein?;Bulgarien;https://www.youtube.com/watch?v=VOffWozT4jA;37;01:00
Wann wurde dieses Lied veröffentlicht?;Weather Girls;It's raining men;1982;;;https://www.youtube.com/watch?v=l5aZJBLAu1E;01:13;01:45
Wann erschien diese Werbung?;AOL / Boris Becker;"Bin ich schon drin";1999;;;https://youtu.be/4XIwVMYeP4I?si=WSgXHCxWItHft_ZG;0;23
Wann wurde dieses Lied veröffentlicht?;Justin Timberlake;Can't Stop The Feeling;2016;;;https://www.youtube.com/watch?v=ru0K8uYEZWw;03:03;03:37
Dieser extrem gute Film kam wann in die Kinos?;Blues Brothers;;1980;;;https://www.youtube.com/watch?v=J0TEagjwEbQ;02:59;03:43
Wann fand diese berühmte Rede statt?;John F. Kennedy;in Berlin;1963;;;https://www.youtube.com/watch?v=y1NzrR4GYqs;40;01:06
Wann wurde dieses Lied veröffentlicht?;Spider Murphy Gang;Schickeria;1981;Wie lautet die Telefonnummer?;32 16 8;https://www.youtube.com/watch?v=oESfa8jt0p8;01:15;01:50
Wann wurde dieses Lied veröffentlicht?;Village People;YMCA;1978;;;https://www.youtube.com/watch?v=CS9OO0S5w2k;42;01:15
Wann wurde dieses Lied veröffentlicht?;Die Ärzte;Zu spät;1985;;;https://www.youtube.com/watch?v=X648-JAusbg;38;01:10
Wann kam dieses Produkt auf den dt. Markt?;Nutella;Nutella;1965;;;https://www.youtube.com/watch?v=IuSYKXQvrZo;0;38
Wann wurde dieses Lied veröffentlicht?;Hildegard Knef;Für mich solls rote Rosen regnen;1968;;;https://www.youtube.com/watch?v=h5yONLt2DTQ;01:31;02:05
In welchem Jahr fand dieses Spiel statt?;Fußball WM-Endspiel;WM1974;1974;Wer schoss das 1:1 für Deutschland?;Breitner;https://www.youtube.com/watch?v=LkztGIL7-FM;03:56;04:26
Wann wurde dieses Lied veröffentlicht?;Sportfreunde Stiller;'54, '74, '90, 2006;2006;;;https://www.youtube.com/watch?v=rj9KyVpCfYg;0;34
Wann erschien diese Werbung?;Edeka;"Super Geil";2014;;;https://youtu.be/SRFTbCgHXas;13;46
Wann wurde dieses Lied veröffentlicht?;Lambada;Kaoma;1989;;;https://www.youtube.com/watch?v=iyLdoQGBchQ;3;38
Wann kam dieser Film in die Kinos?;Truman Show;Truman Show;1998;;;https://www.youtube.com/watch?v=0N02Cgx4EMU;2;37
Wann wurde dieses Lied veröffentlicht?;Blondie;Heart of Glass;1978;;;https://www.youtube.com/watch?v=WGU_4-5RaxU;39;01:16
Wann kam dieser Kultfilm in die Kinos?;Rocky Horror Picture Show;Time Warp;1975;;;https://www.youtube.com/watch?v=u1O2-oFmWXM;02:32;03:11
Wann wurde dieses Lied veröffentlicht?;Modern Talking;Cheri Cheri Lady;1985;;;https://www.youtube.com/watch?v=eNvUS-6PTbs;43;01:18
Wann kam der erste Teil in die Kinos?;Toy Story 1;Toy Story;1995;Wie heißt der Cowboy?;Woody;https://www.youtube.com/watch?v=nMN4JZ8crVY;0;36
Wann wurde dieses Lied veröffentlicht?;Max Giesinger;80 Millionen;2016;Wann war Deutschland zuletzt Weltmeister?;2014;https://youtu.be/WnJOJ57EqIA?si=enfRD3kxIw2ZCv-r;01:42;02:15
Wann wurde Obama erstmals US-Präsident?;Barack Obama;Obama;2009;;;https://www.youtube.com/watch?v=aRQLU3IwNYs;01:50;02:25
Wann wurde dieses Lied veröffentlicht?;Shawn Mendes;Senorita;2019;;;https://www.youtube.com/watch?v=Pkh8UtuejGw;02:10;02:46
Wann kam diese Tragödie in die Kinos?;Titanic;Titanic;1997;Wie heißt die Sängerin des Lieds?;Celine Dion;https://www.youtube.com/watch?v=F2RnxZnubCM;02:46;03:15
Wann wurde dieses Lied veröffentlicht?;Dynoro, Gigi D'Agostino;In my Mind;2018;;;https://www.youtube.com/watch?v=fCoIP5ICfx8;1:10;01:40
Wann kam dieser Film in die Kinos?;Herr der Ringe;Die Gefährten;2001;;;https://youtu.be/NJVxEaGrHS4?si=eZ1EgKf51lt7-Dk1;30;01:00
Wann wurde dieses Lied veröffentlicht?;Bata Illic;Michaela;1972;;;https://www.youtube.com/watch?v=0pr4r5_2DmI;28;01:05
Und zum Abschluss: wan kam dieses Lied raus?;Gitte;Ich will nen Cowboy als Mann;1963;;;https://www.youtube.com/watch?v=nKofFs7bD4g;3;33
